iter	Passed	Remaining
412	3289	4675
413	3298	4668
414	3306	4661
415	3315	4654
416	3324	4648
417	3334	4642
418	3341	4633
419	3348	4624
420	3355	4615
421	3362	4606
422	3370	4597
423	3377	4588
424	3384	4578
425	3390	4568
426	3397	4559
427	3404	4549
428	3411	4540
429	3417	4530
430	3449	4553
431	3470	4563
432	3484	4562
433	3495	4559
434	3503	4550
435	3509	4540
436	3519	4534
437	3527	4526
438	3534	4516
439	3541	4507
440	3548	4497
441	3555	4488
442	3561	4478
443	3568	4468
444	3575	4458
445	3582	4449
446	3589	4440
447	3596	4430
448	3603	4422
449	3611	4414
450	3619	4405
451	3626	4396
452	3633	4387
453	3640	4378
454	3647	4368
455	3654	4359
456	3661	4350
457	3669	4341
458	3676	4333
459	3683	4324
460	3691	4315
461	3698	4306
462	3705	4298
463	3712	4288
464	3719	4279
465	3726	4270
466	3733	4261
467	3741	4252
468	3748	4244
469	3756	4235
470	3763	4226
471	3772	4220
472	3786	4218
473	3798	4215
474	3811	4212
475	3823	4208
476	3834	4204
477	3844	4198
478	3851	4189
479	3861	4182
480	3868	4173
481	3875	4164
482	3881	4154
483	3888	4145
484	3895	4136
485	3902	4126
486	3909	4118
487	3916	4108
488	3922	4099
489	3929	4090
490	3936	4080
491	3942	4071
492	3949	4061
493	3956	4052
494	3962	4042
495	3968	4032
496	3975	4023
497	3981	4013
498	3987	4003
499	3994	3994
500	4000	3984
501	4007	3975
502	4013	3965
503	4021	3957
504	4028	3949
505	4041	3946
506	4052	3940
507	4063	3935
508	4074	3930
509	4082	3922
510	4088	3912
511	4095	3903
512	4101	3893
513	4107	3884
514	4120	3880
515	4133	3877
516	4142	3869
517	4149	3861
518	4155	3851
519	4162	3842
520	4169	3833
521	4175	3823
522	4182	3814
523	4188	3805
524	4195	3795
525	4202	3786
526	4208	3777
527	4215	3768
528	4223	3760
529	4229	3750
530	4236	3741
531	4242	3732
532	4249	3723
533	4256	3714
534	4262	3705
535	4269	3695
536	4275	3686
537	4282	3677
538	4288	3668
539	4295	3659
540	4303	3651
541	4310	3642
542	4317	3633
543	4323	3623
544	4329	3614
545	4336	3605
546	4342	3596
547	4348	3586
548	4355	3577
549	4363	3569
550	4369	3560
551	4376	3551
552	4382	3542
553	4393	3536
554	4400	3528
555	4407	3519
556	4414	3510
557	4421	3502
558	4434	3498
559	4444	3491
560	4450	3482
561	4457	3474
562	4464	3465
563	4471	3456
564	4477	3447
565	4485	3439
566	4492	3431
567	4499	3422
568	4506	3413
569	4514	3405
570	4520	3396
571	4527	3387
572	4535	3379
573	4542	3370
574	4550	3363
575	4557	3355
576	4565	3346
577	4572	3338
578	4579	3330
579	4588	3322
580	4599	3316
581	4606	3308
582	4613	3299
583	4621	3291
584	4628	3283
585	4635	3275
586	4643	3267
587	4653	3260
588	4664	3255
589	4671	3246
590	4679	3238
591	4686	3229
592	4693	3221
593	4700	3212
594	4707	3203
595	4713	3195
596	4720	3186
597	4743	3188
598	4765	3190
599	4781	3187
600	4790	3180
601	4798	3172
602	4805	3163
603	4812	3155
604	4819	3146
605	4826	3138
606	4833	3129
607	4840	3120
608	4847	3112
609	4854	3103
610	4861	3095
611	4867	3086
612	4874	3077
613	4881	3068
614	4888	3060
615	4894	3051
616	4901	3042
617	4907	3033
618	4913	3024
619	4919	3015
620	4926	3006
621	4932	2997
622	4939	2988
623	4945	2980
624	4952	2971
625	4958	2962
626	4965	2953
627	4972	2945
628	4978	2936
629	4987	2928
630	4993	2920
631	5000	2911
632	5006	2902
633	5013	2894
634	5020	2885
635	5026	2876
636	5033	2868
637	5039	2859
638	5046	2850
639	5052	2842
640	5059	2833
641	5066	2825
642	5073	2816
643	5082	2809
644	5094	2803
645	5107	2798
646	5119	2793
647	5130	2787
648	5137	2778
649	5143	2769
650	5151	2761
651	5158	2753
652	5164	2744
653	5171	2736
654	5178	2727
655	5186	2719
656	5193	2711
657	5200	2702
658	5208	2694
659	5214	2686
660	5221	2677
661	5227	2669
662	5234	2660
663	5240	2651
664	5246	2643
665	5256	2636
666	5262	2627
667	5268	2618
668	5275	2610
669	5282	2601
670	5288	2593
671	5294	2584
672	5301	2575
673	5307	2567
674	5314	2558
675	5320	2550
676	5327	2541
677	5333	2533
678	5341	2525
679	5347	2516
680	5354	2508
681	5361	2499
682	5367	2491
683	5373	2482
684	5380	2474
685	5386	2465
686	5393	2457
687	5400	2448
688	5407	2440
689	5414	2432
690	5420	2423
691	5426	2415
692	5433	2406
693	5439	2398
694	5445	2389
695	5452	2381
696	5458	2372
697	5465	2364
698	5471	2356
699	5477	2347
700	5484	2339
701	5490	2330
702	5496	2322
703	5503	2313
704	5511	2306
705	5523	2300
706	5536	2294
707	5548	2288
708	5560	2282
709	5572	2276
710	5585	2270
711	5596	2263
712	5608	2257
713	5621	2251
714	5633	2245
715	5641	2237
716	5654	2231
717	5660	2223
718	5667	2214
719	5674	2206
720	5681	2198
721	5687	2190
722	5693	2181
723	5700	2173
724	5706	2164
725	5713	2156
726	5719	2147
727	5727	2140
728	5734	2131
729	5740	2123
730	5747	2115
731	5754	2106
732	5761	2098
733	5768	2090
734	5774	2082
735	5781	2073
736	5788	2065
737	5795	2057
738	5801	2049
739	5808	2040
740	5815	2032
741	5822	2024
742	5830	2016
743	5844	2010
744	5857	2005
745	5870	1998
746	5880	1991
747	5888	1983
748	5895	1975
749	5903	1967
750	5911	1960
751	5921	1952
752	5928	1944
753	5935	1936
754	5942	1928
755	5950	1920
756	5956	1912
757	5963	1904
758	5970	1895
759	5977	1887
760	5984	1879
761	5991	1871
762	5999	1863
763	6005	1855
764	6012	1846
765	6019	1838
766	6025	1830
767	6032	1822
768	6039	1814
769	6046	1805
770	6053	1797
771	6060	1789
772	6067	1781
773	6073	1773
774	6080	1765
775	6088	1757
776	6097	1749
777	6104	1741
778	6114	1734
779	6126	1727
780	6136	1720
781	6151	1714
782	6161	1707
783	6176	1701
784	6187	1694
785	6198	1687
786	6212	1681
787	6223	1674
788	6236	1667
789	6251	1661
790	6264	1655
791	6276	1648
792	6290	1642
793	6304	1635
794	6318	1629
795	6332	1622
796	6345	1616
797	6358	1609
798	6373	1603
799	6389	1597
800	6402	1590
801	6415	1583
802	6423	1575
803	6437	1569
804	6451	1562
805	6460	1554
806	6473	1548
807	6487	1541
808	6497	1534
809	6508	1526
810	6522	1519
811	6534	1513
812	6544	1505
813	6550	1496
814	6557	1488
815	6564	1480
816	6571	1471
817	6578	1463
818	6588	1456
819	6595	1447
820	6603	1439
821	6610	1431
822	6618	1423
823	6625	1415
824	6633	1407
825	6646	1400
826	6657	1392
827	6663	1384
828	6671	1376
829	6678	1367
830	6685	1359
831	6693	1351
832	6700	1343
833	6708	1335
834	6715	1327
835	6722	1318
836	6730	1310
837	6737	1302
838	6745	1294
839	6751	1285
840	6758	1277
841	6765	1269
842	6772	1261
843	6779	1253
844	6786	1244
845	6793	1236
846	6801	1228
847	6808	1220
848	6814	1212
849	6821	1203
850	6828	1195
851	6835	1187
852	6841	1179
853	6848	1170
854	6855	1162
855	6862	1154
856	6869	1146
857	6876	1138
858	6883	1129
859	6890	1121
860	6897	1113
861	6904	1105
862	6911	1097
863	6918	1089
864	6925	1080
865	6932	1072
866	6940	1064
867	6948	1056
868	6961	1049
869	6973	1042
870	6984	1034
871	6998	1027
872	7012	1020
873	7023	1012
874	7040	1005
875	7056	998
876	7068	991
877	7077	983
878	7085	975
879	7093	967
880	7100	959
881	7107	950
882	7115	942
883	7122	934
884	7129	926
885	7136	918
886	7143	910
887	7150	901
888	7157	893
889	7171	886
890	7180	878
891	7188	870
892	7195	862
893	7204	854
894	7211	846
895	7219	837
896	7226	829
897	7233	821
898	7241	813
899	7252	805
900	7264	798
901	7271	790
902	7279	781
903	7287	773
904	7294	765
905	7302	757
906	7310	749
907	7318	741
908	7326	733
909	7333	725
910	7341	717
911	7349	709
912	7357	701
913	7364	692
914	7372	684
915	7379	676
916	7387	668
917	7393	660
918	7401	652
919	7409	644
920	7416	636
921	7424	628
922	7431	619
923	7439	611
924	7447	603
925	7455	595
926	7462	587
927	7470	579
928	7478	571
929	7485	563
930	7492	555
931	7500	547
932	7508	539
933	7515	531
934	7523	523
935	7532	515
936	7539	506
937	7547	498
938	7564	491
939	7606	485
940	7625	478
941	7635	470
942	7644	462
943	7654	454
944	7662	445
945	7672	437
946	7681	429
947	7689	421
948	7699	413
949	7708	405
950	7718	397
951	7726	389
952	7735	381
953	7743	373
954	7753	365
955	7761	357
956	7771	349
957	7778	341
958	7787	332
959	7795	324
960	7806	316
961	7814	308
962	7822	300
963	7834	292
964	7844	284
965	7852	276
966	7864	268
967	7873	260
968	7886	252
969	7894	244
970	7902	236
971	7911	227
972	7919	219
973	7927	211
974	7934	203
975	7943	195
976	7950	187
977	7958	179
978	7966	170
979	7974	162
980	7982	154
981	7990	146
982	7998	138
983	8006	130
984	8014	122
985	8022	113
986	8029	105
987	8042	97
988	8056	89
989	8070	81
990	8084	73
991	8098	65
992	8107	57
993	8116	48
994	8124	40
995	8131	32
996	8138	24
997	8145	16
998	8152	8
999	8159	0
