iter	Passed	Remaining
0	6	1931
1	12	1819
2	17	1725
3	22	1631
4	27	1610
5	32	1573
6	36	1535
7	41	1506
8	45	1477
9	50	1464
10	55	1464
11	61	1467
12	65	1448
13	70	1441
14	76	1444
15	83	1476
16	88	1468
17	91	1432
18	94	1399
19	98	1383
20	104	1384
21	107	1363
22	110	1336
23	116	1339
24	120	1323
25	123	1303
26	127	1284
27	131	1280
28	135	1268
29	139	1251
30	142	1234
31	146	1226
32	150	1220
33	154	1211
34	157	1195
35	162	1188
36	166	1185
37	170	1172
38	173	1162
39	177	1154
40	182	1151
41	185	1140
42	189	1129
43	192	1122
44	197	1121
45	202	1119
46	207	1118
47	214	1123
48	218	1116
49	221	1108
50	225	1100
51	230	1101
52	235	1095
53	238	1086
54	242	1079
55	247	1077
56	251	1070
57	254	1061
58	258	1055
59	263	1053
60	267	1047
61	271	1040
62	275	1034
63	280	1035
64	287	1037
65	292	1036
66	298	1036
67	303	1034
68	306	1027
69	312	1025
70	316	1021
71	321	1016
72	325	1013
73	331	1012
74	336	1010
75	342	1009
76	347	1005
77	351	1001
78	355	994
79	361	993
80	365	988
81	369	982
82	373	976
83	377	970
84	381	964
85	384	957
86	388	951
87	393	947
88	396	941
89	402	940
90	407	936
91	411	930
92	415	925
93	419	919
94	424	915
95	427	908
96	432	904
97	435	897
98	439	893
99	443	887
100	448	883
101	452	877
102	456	872
103	460	867
104	464	862
105	468	856
106	472	851
107	476	846
108	480	842
109	484	837
110	488	832
111	492	826
112	496	821
113	499	815
114	503	810
115	507	805
116	511	800
117	515	795
118	519	790
119	523	785
120	527	779
121	530	774
122	535	770
123	540	767
124	544	761
125	548	756
126	551	751
127	555	747
128	561	744
129	566	741
130	571	737
131	576	733
132	580	728
133	584	723
134	589	720
135	593	716
136	597	711
137	601	706
138	606	702
139	610	697
140	615	693
141	619	689
142	624	685
143	628	681
144	633	676
145	638	673
146	642	668
147	646	664
148	650	659
149	656	656
150	661	653
151	667	650
152	673	647
153	680	645
154	687	643
155	693	640
156	697	635
157	705	633
158	710	630
159	715	626
160	721	623
161	725	618
162	729	613
163	734	609
164	740	606
165	746	602
166	751	598
167	757	595
168	762	591
169	769	588
170	775	584
171	779	580
172	786	577
173	792	574
174	797	569
175	803	566
176	809	562
177	813	557
178	821	555
179	826	551
180	832	547
181	837	543
182	841	538
183	846	533
184	852	529
185	856	524
186	860	519
187	865	515
188	871	511
189	875	506
190	880	502
191	885	498
192	889	493
193	893	488
194	900	484
195	905	480
196	909	475
197	914	471
198	919	466
199	923	461
200	927	456
201	933	452
202	938	448
203	941	443
204	946	438
205	952	434
206	956	429
207	960	424
208	966	420
209	971	416
210	975	411
211	982	407
212	986	403
213	991	398
214	995	393
215	999	388
216	1003	383
217	1007	379
218	1011	374
219	1015	369
220	1019	364
221	1024	360
222	1031	356
223	1036	351
224	1040	346
225	1047	342
226	1052	338
227	1056	333
228	1063	329
229	1067	325
230	1073	320
231	1080	316
232	1086	312
233	1092	308
234	1098	303
235	1104	299
236	1107	294
237	1113	290
238	1118	285
239	1122	280
240	1128	276
241	1133	271
242	1139	267
243	1144	262
244	1150	258
245	1154	253
246	1159	248
247	1163	243
248	1167	239
249	1171	234
250	1178	230
251	1182	225
252	1186	220
253	1191	215
254	1196	211
255	1200	206
256	1204	201
257	1210	197
258	1215	192
259	1219	187
260	1224	183
261	1230	178
262	1235	173
263	1238	168
264	1243	164
265	1248	159
266	1252	154
267	1259	150
268	1264	145
269	1269	141
270	1274	136
271	1280	131
272	1285	127
273	1291	122
274	1296	117
275	1302	113
276	1307	108
277	1312	103
278	1316	99
279	1320	94
280	1325	89
281	1329	84
282	1333	80
283	1337	75
284	1342	70
285	1346	65
286	1349	61
287	1354	56
288	1358	51
289	1362	46
290	1366	42
291	1369	37
292	1374	32
293	1379	28
294	1383	23
295	1388	18
296	1393	14
297	1396	9
298	1401	4
299	1406	0
