iter	F1	Logloss
157	0.6679102323	0.5604919723
158	0.6696596759	0.5604017557
159	0.6695905694	0.5602291915
160	0.6698714745	0.5600910745
161	0.6693142858	0.559975439
162	0.6704283694	0.5598443074
163	0.6707084447	0.5597473008
164	0.6706393488	0.5596211171
165	0.6717512809	0.5593263555
166	0.6716129757	0.5592821398
167	0.6720992545	0.5591666982
168	0.6725851774	0.5591364943
169	0.6721684247	0.5590532523
170	0.6716821212	0.5590192309
171	0.6716821212	0.5589098976
172	0.6724468303	0.5588467719
173	0.6725159967	0.5587633643
174	0.6719609567	0.5587014527
175	0.6709881418	0.5586399473
176	0.6715438444	0.5585961874
177	0.6724468303	0.5584732858
178	0.6734867273	0.5583859465
179	0.6730015395	0.5583268322
180	0.6736252013	0.5581838176
181	0.6743867746	0.5580888765
182	0.6750094674	0.5579801761
183	0.6749401641	0.5579395404
184	0.6749401641	0.5578194341
185	0.6759767058	0.5576539405
186	0.6763210575	0.5575992248
187	0.6761823763	0.5575474045
188	0.6761823763	0.5574629997
189	0.6761823763	0.5574019616
190	0.6761823763	0.5573029592
191	0.6767343747	0.5571358992
192	0.6770779383	0.5569843855
193	0.6769392457	0.5569398194
194	0.6768699207	0.5568670952
195	0.6773517619	0.5568211182
196	0.6774211109	0.5568031296
197	0.6781802597	0.55673272
198	0.6781108298	0.556698372
199	0.6783837891	0.5565526994
200	0.6786615194	0.5564626413
201	0.6783837891	0.556403047
202	0.6796862584	0.5563223329
203	0.6785870041	0.5562322593
204	0.6794779801	0.5561256182
205	0.6794085824	0.5560572468
206	0.6796862584	0.5560056254
207	0.6797557129	0.5559298195
208	0.6796168182	0.5558617316
209	0.6796862584	0.5557773597
210	0.6800965126	0.5557291365
211	0.680506385	0.5556643293
212	0.6800965126	0.5556268169
213	0.680506385	0.555444607
214	0.6814639861	0.5553867201
215	0.6814639861	0.5553787401
216	0.6814639861	0.5553134793
217	0.6809853594	0.5552670498
218	0.6824201982	0.5552099341
219	0.6819422656	0.5551534907
220	0.6819422656	0.555097081
221	0.6818727354	0.5550604181
222	0.6818727354	0.5550200416
223	0.6823506445	0.5549765611
224	0.6824897661	0.5548496589
225	0.6825593482	0.5547707883
226	0.6825593482	0.554698529
227	0.68201181	0.5546591244
228	0.6824897661	0.5546105528
229	0.6822115796	0.5544160152
230	0.6822115796	0.5543075728
231	0.6822811049	0.5542538829
232	0.6826890954	0.5542156015
233	0.6822115796	0.5541591253
234	0.6822115796	0.5540442346
235	0.6835735081	0.5540071873
236	0.6834343878	0.5539795787
237	0.683632633	0.5538219662
238	0.6833546952	0.5536045853
239	0.6830173664	0.5535374445
240	0.6825407523	0.5534880444
241	0.6826101971	0.5534211505
242	0.6830173664	0.5533654371
243	0.6829479123	0.553321487
244	0.6825407523	0.5532641765
245	0.6828784724	0.5531550979
246	0.6830173664	0.5531231335
247	0.6830173664	0.5531230958
248	0.6830173664	0.5530179818
249	0.6829479123	0.5529452143
250	0.6842366129	0.552820948
251	0.6846422764	0.5527651527
252	0.6847812998	0.5526474929
253	0.684711781	0.5524898963
254	0.6851170783	0.5524411087
255	0.6851170783	0.5524105788
256	0.6846422764	0.552393155
257	0.6845727859	0.552386325
258	0.6842366129	0.5521898378
259	0.6847812998	0.5521290983
260	0.6865394296	0.5520216509
261	0.6866090263	0.5519931035
262	0.6864002786	0.5519854693
263	0.6868736663	0.5518807636
264	0.6868736663	0.5518707
265	0.6868736663	0.5518501594
266	0.6864002786	0.5517606803
267	0.6861916577	0.5517065281
268	0.6861916577	0.5516687306
269	0.6862611839	0.5515645658
270	0.6857875006	0.55152064
271	0.6861916577	0.5513962174
272	0.6862611839	0.5512819042
273	0.6864002786	0.5512524038
274	0.6861916577	0.5512122325
275	0.6861916577	0.5511611399
276	0.6857179974	0.5511172611
277	0.6862611839	0.551056671
278	0.6868736663	0.5508883313
279	0.6870128632	0.550860936
280	0.6872217642	0.5507968693
281	0.6872217642	0.5507528804
282	0.6872217642	0.550721311
283	0.6871521164	0.550708161
284	0.6862744182	0.5506360416
285	0.6871521164	0.5505427306
286	0.6870824827	0.550509612
287	0.6875555979	0.5504027503
288	0.6875555979	0.5503356002
289	0.6874859555	0.5503010813
290	0.6884311182	0.5502395587
291	0.6885008061	0.5501832558
292	0.6887638103	0.5501161736
293	0.6892354964	0.5500758744
294	0.6892354964	0.5499848104
295	0.6892354964	0.5497973889
296	0.688694142	0.5496006664
297	0.688694142	0.5495619539
298	0.688694142	0.5495229351
299	0.6886244878	0.5494518957
